Track Name,Artist Name,Release Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,Popularity
Baby,Aitch,2022.0,0.752,0.813,4.0,-8.069,0.0,0.237,0.2,0.0,0.163,0.559,103.836,2.9622166666666665,64
Baby Don't Cry,Jamey Johnson,2010.0,0.662,0.167,2.0,-12.806,1.0,0.0482,0.548,0.00388,0.109,0.167,114.587,3.45355,29
Baby Drugs,Tristen,2014.0,0.483,0.825,0.0,-5.013,1.0,0.0454,0.0104,0.000314,0.218,0.745,80.755,2.5826333333333333,35
Back Down South,Kings of Leon,2010.0,0.476,0.619,0.0,-7.221,1.0,0.0398,0.0634,0.00075,0.258,0.154,117.113,4.02045,61
Back From Cali,Slash,2010.0,0.398,0.747,9.0,-6.434,1.0,0.0375,0.00136,0.0,0.0917,0.677,132.629,3.606,33
Back from Kathmandu,OK Go,2010.0,0.439,0.572,1.0,-6.683,1.0,0.0378,0.00206,0.26,0.0938,0.362,147.86,4.216,17
Back To December,Taylor Swift,2023.0,0.497,0.635,2.0,-3.927,1.0,0.0273,0.00621,0.0,0.117,0.203,142.063,4.9031666666666665,83
Backstabber,Kesha,2010.0,0.6,0.939,7.0,-1.794,1.0,0.19,0.0666,6.18e-06,0.34,0.833,159.941,3.114,74
Bad Angel,Dierks Bentley,2010.0,0.527,0.63,0.0,-6.412,1.0,0.0284,0.435,0.0,0.234,0.716,79.757,4.069333333333334,36
Bad Day,Justus Bennetts,2021.0,0.883,0.713,9.0,-4.684,1.0,0.307,0.0125,0.0,0.45,0.855,89.025,1.8133333333333332,61
Bad Day of Fishin',Billy Currington,2010.0,0.834,0.575,11.0,-4.683,1.0,0.0317,0.548,0.0,0.194,0.526,115.977,3.048,37
Baddest Chick,Alesha Dixon,2010.0,0.697,0.82,6.0,-4.701,0.0,0.0346,0.0392,1.47e-06,0.452,0.559,96.012,3.6026666666666665,4
Bagman,Stone Temple Pilots,2010.0,0.579,0.912,0.0,-4.345,1.0,0.0434,0.000296,0.0354,0.165,0.85,115.961,2.75955,13
